id,titulo,criado_em,fechado_em,quem_criou,quem_fechou,tempo_correcao_dias
34891,"[Compiler Bug]: Incorrect immutability error ""Error: This value cannot be modified""",2025-10-17 03:29:29+00:00,,snowystinger,,
34888,[Compiler Bug]: Recursive functions seem to confuse the compiler,2025-10-17 01:17:26+00:00,,snowystinger,,
34866,[DevTools Bug]: CSS Animation Errors When Using Devtools,2025-10-15 23:52:23+00:00,,SocietyNiu,,
34818,Bug: Stale closures with `useEffectEvent`,2025-10-12 10:55:35+00:00,2025-10-13 15:58:44+00:00,OliverJAsh,eps1lon,1.2105208333333333
34800,[Compiler Bug]: Using a hook from an object bundle makes Compiler skip the consuming hook,2025-10-10 10:30:14+00:00,,dan-proudfoot-bots,,
34795,[Compiler Bug]: Improve readability of `react-hooks/immutability` log message,2025-10-09 14:18:08+00:00,2025-10-23 18:30:54+00:00,baevm,josephsavona,14.175532407407408
34794,[Compiler Bug]: false positive for eslint rule react-hooks/static-components,2025-10-09 13:53:19+00:00,,TkDodo,,
34775,Bug: eslint-react-hooks false positives on refs rule,2025-10-08 14:59:23+00:00,,marcospgp,,
34773,[Compiler Bug]: Please make a new release above 19.1.0.,2025-10-08 11:02:46+00:00,,cpojer,,
34753,[DevTools Bug] Cannot read properties of undefined (reading 'local'),2025-10-06 15:08:05+00:00,2025-10-08 13:04:38+00:00,mbrammer,hoxyq,1.9142708333333334
34752,[Compiler Bug]: Compiler incorrectly assumes non-nullability and lifts property access,2025-10-06 12:36:38+00:00,,pawelblaszczyk5,,
34750,[Compiler Bug]: Unclear preserve-manual-memoization error message.,2025-10-06 07:54:04+00:00,,cpojer,,
34749,[Compiler Bug]: The compiler cannot handle callbacks which reference themselves.,2025-10-06 07:38:05+00:00,,cpojer,,
34748,[Compiler Bug]: `startTransition` shouldn't be required as a dependency for `useCallback`.,2025-10-06 07:24:39+00:00,2025-10-15 16:45:07+00:00,cpojer,josephsavona,9.389212962962963
34738,"Bug: <title> in <Activity> sets the title when ""mode=hidden""",2025-10-05 12:10:46+00:00,,nilshartmann,,
34711,[DevTools Bug] Cannot read properties of undefined (reading 'local'),2025-10-03 09:35:26+00:00,2025-10-15 02:38:06+00:00,Bunkheang-heng,hoxyq,11.710185185185185
34701,Bug: Support Zod v4 in eslint-plugin-react-hooks,2025-10-02 21:37:46+00:00,2025-10-03 22:56:39+00:00,RampantDespair,josephsavona,1.0547800925925925
34657,[Compiler Bug]: Playground crashes with a simple hook with getters,2025-09-30 14:36:46+00:00,,nandorojo,,
34647,[Compiler Bug]: Please fix `eslint-plugin-react-hooks`,2025-09-29 10:27:59+00:00,2025-10-04 18:38:42+00:00,cpojer,poteto,5.340775462962963
34622,[playground]: Syntax error crashes playground,2025-09-27 14:58:11+00:00,2025-10-09 19:02:57+00:00,ianduvall,EugeneChoi4,12.169976851851851
34603,[DevTools Bug] Cannot read properties of undefined (reading 'length'),2025-09-25 17:56:06+00:00,2025-10-13 10:10:01+00:00,eljonathas,eps1lon,17.676331018518518
34600,"[DevTools Bug] Cannot add child ""43538"" to parent ""35533"" because parent node was not found in the Store.",2025-09-25 14:23:35+00:00,2025-10-12 13:03:09+00:00,gpage-cnr,eps1lon,16.94414351851852
34563,[DevTools Bug] Cannot read properties of undefined (reading 'length'),2025-09-23 06:04:09+00:00,,Vatsal0410,,
34470,[Compiler Bug]: custom hooks that don't explicitly call other hooks are not optimized,2025-09-11 20:33:49+00:00,,SimpleCreations,,
34469,[Compiler Bug]: render functions are left unoptimized,2025-09-11 20:18:34+00:00,,SimpleCreations,,
34418,[Compiler Bug]: Modifying a value returned from a hook is not allowed.,2025-09-08 12:23:18+00:00,2025-09-09 21:09:01+00:00,Zhangjun-Hex,josephsavona,1.3650810185185185
34413,[Compiler Bug]: react-hooks/immutability eslint rule doesn't support setting functional refs from child components,2025-09-07 09:15:09+00:00,,alex-e-leon,,
34378,[Compiler Bug]: TypeScript function overloads cause an exported function from a hook to be `undefined`,2025-09-04 07:14:00+00:00,,yannickm95,,
34342,[Compiler Bug]: false positive ref access in render error when props contain both a `ref` and a `value` and both are accessed,2025-08-29 21:23:09+00:00,,deivshon,,
34337,"[DevTools Bug] Could not find node with id ""250"" in commit tree",2025-08-29 08:38:04+00:00,,shreyanshxyz,,
34336,"[Compiler Bug]: After enabling React Compiler for a React Native / Expo app, Storybook fails (seems to be incorrectly bundled)",2025-08-29 08:16:38+00:00,,InkaAlicja,,
34317,[DevTools Bug] Failed to construct 'URL': Invalid base URL,2025-08-27 14:56:09+00:00,2025-10-08 13:05:49+00:00,dharmasam,hoxyq,41.92337962962963
34313,[Compiler Bug]: Destructure component props caused Compilation skipped because existing memoization could not be preserved,2025-08-27 08:52:30+00:00,,imteammy,,
34311,[Compiler Bug]: errors when the `this` type is declared in a function,2025-08-27 07:37:01+00:00,2025-08-27 21:58:45+00:00,sadan4,poteto,0.5984259259259259
34308,[Compiler Bug]:,2025-08-26 20:48:43+00:00,2025-08-27 14:39:55+00:00,mribichich,josephsavona,0.7438888888888889
34282,[Compiler Bug]:,2025-08-23 16:43:37+00:00,2025-08-23 22:26:39+00:00,yongyuthdamdang-eng,josephsavona,0.2382175925925926
34281,[Compiler Bug]:,2025-08-23 16:43:31+00:00,2025-08-23 22:26:57+00:00,yongyuthdamdang-eng,josephsavona,0.23849537037037036
34280,https://github.com/facebook/react/issues/new/choose,2025-08-23 16:43:23+00:00,2025-08-23 22:27:10+00:00,yongyuthdamdang-eng,josephsavona,0.23873842592592592
34268,[DevTools Bug]: devtools does not works on null origin(sandbox),2025-08-22 14:01:47+00:00,,mochiya98,,
34262,[Compiler Bug]: “The inferred dependencies did not match...” references Compiler’s internal variables,2025-08-21 23:39:08+00:00,,iamakulov,,
34232,[Compiler Bug]: Object.fromEntries() does not mutate,2025-08-19 16:31:53+00:00,,josephsavona,,
34211,[Compiler Bug]: breaks referencial stability in @tanstack/react-query,2025-08-15 19:29:36+00:00,2025-08-20 18:14:39+00:00,TheSisb,TheSisb,4.947951388888889
34195,[DevTools Bug]: No highlighting on modal `<dialog>` elements,2025-08-13 12:04:32+00:00,2025-08-29 14:46:01+00:00,Rumperuu,Rumperuu,16.112141203703704
34194,[Compiler Bug]: Incorrect behavior when using potentially undefined value in function without optional chaining,2025-08-13 09:40:47+00:00,,SampsaKaskela,,
34180,[Compiler Bug]: atomic.ai,2025-08-12 01:01:19+00:00,2025-08-12 01:05:22+00:00,epicoracle1-droid,josephsavona,0.0028125
34172,[Compiler Bug]: Memoization: Compilation skipped because existing memoization could not be preserved,2025-08-11 18:36:40+00:00,,amanmahajan7,,
34138,"[DevTools Bug] Cannot remove node ""10"" because no matching node was found in the Store.",2025-08-08 19:35:58+00:00,2025-10-12 13:03:04+00:00,leeshiela,eps1lon,64.72715277777777
34132,[DevTools Bug]: The link that points to the master branch should point to the main branch instead,2025-08-08 16:08:15+00:00,2025-10-08 13:14:26+00:00,adriancuadrado,hoxyq,60.87929398148148
34131,[Compiler Bug]: (BuildHIR::lowerStatement) Handle TryStatement with a finalizer ('finally') clause,2025-08-08 13:08:43+00:00,2025-08-08 21:47:31+00:00,Tarasikee,Tarasikee,0.36027777777777775
34128,"[DevTools Bug] Cannot add node ""1"" because a node with that id is already in the Store.",2025-08-07 14:26:11+00:00,2025-10-12 13:02:46+00:00,ecobanoglu,eps1lon,65.94207175925926
34108,[Compiler Bug]: Compiler introduces unnecessary breaks that skips its own memoization,2025-08-05 02:20:05+00:00,2025-09-04 00:44:43+00:00,refparo,josephsavona,29.93377314814815
34072,"[Compiler Bug]: ""Internal error: MethodCall::property must be an unpromoted..."" on specific Math.floor, Math.ceil usages",2025-07-31 16:46:59+00:00,,deivshon,,
34056,[Compiler Bug]:,2025-07-30 15:39:08+00:00,2025-07-30 16:45:44+00:00,yahya9-c,josephsavona,0.04625
34046,[Compiler Bug]: False positive for “impure function during render” inside callback,2025-07-29 20:50:53+00:00,,controversial,,
34018,[Compiler Bug]: Inconsistent errors between React Compiler Playground and latest experimental npm package,2025-07-28 10:18:28+00:00,2025-07-29 22:45:04+00:00,laug,laug,1.5184722222222222
34014,[Compiler Bug]:  Compiler does not optimize functions unless manually memoized,2025-07-27 11:13:22+00:00,2025-07-28 01:26:08+00:00,imteammy,imteammy,0.5921990740740741
33978,[Compiler Bug]: Component defined inside function cause incorrect optimization,2025-07-24 08:17:01+00:00,2025-08-27 17:59:27+00:00,suguanYang,poteto,34.404467592592596
33937,Bug: `React.use` inside `React.lazy`-ed component returns other `React.use` value on SSR,2025-07-18 00:42:48+00:00,2025-07-28 08:36:09+00:00,hi-ogawa,eps1lon,10.328715277777778
33781,[Compiler Bug]: Mutating local variable created from destructuring a prop is incorrectly detected as a prop mutation,2025-07-13 00:04:56+00:00,2025-07-25 23:41:11+00:00,laug,laug,12.983506944444445
33764,[Compiler Bug]:,2025-07-11 14:54:52+00:00,,BorzovRuslanR,,
33762,"[Compiler Bug]: I encountered an error when running yarn build:chrome, then errors happen",2025-07-11 06:48:25+00:00,,tangzhenyu0618,,
33738,"[DevTools Bug] Cannot remove node ""810"" because no matching node was found in the Store.",2025-07-08 19:14:57+00:00,,mazamine,,
33689,[Compiler Bug]: Not handling named functions calling named functions when defined in a weird order,2025-07-03 12:54:15+00:00,,amcsi,,
33681,[Compiler Bug]: Compiler break other babel plugins,2025-07-01 16:14:55+00:00,,otomad,,
33678,[DevTools Bug] callSite.getScriptNameOrSourceURL is not a function (it is undefined),2025-07-01 08:07:25+00:00,,mattchannn,,
33628,[Compiler Bug]: Compiler behavior with and without useCallback,2025-06-24 14:10:09+00:00,,mykhalenych,,
33617,[Compiler Bug]: babel plugin and eslint plugin seemingly inconsistent,2025-06-23 13:49:49+00:00,,phryneas,,
33614,[Compiler Bug]: new mutation aliasing model incorrectly detects a frozen value mutation when mutating a set created via passing the set constructor a frozen value,2025-06-22 13:45:28+00:00,2025-06-24 18:29:31+00:00,deivshon,josephsavona,2.1972569444444443
33610,[Compiler Bug]:,2025-06-22 09:59:15+00:00,,Biki-das,,
33585,"[DevTools Bug]: Showing ""This page doesn’t appear to be using React"" even in react.dev",2025-06-21 03:33:11+00:00,,asd58584388,,
33580,Bug: Rendered more hooks than during the previous render when component calls use(thenable) after hydration in a specific transition,2025-06-20 03:22:31+00:00,,RobPruzan,,
33577,[Compiler Bug]: Compiler tries to assign to variables that does not exist,2025-06-19 14:24:26+00:00,2025-06-25 18:10:10+00:00,SimenB,josephsavona,6.1567592592592595
33559,[Compiler Bug]: Compiler optimizes away useMemo with manual dependencies,2025-06-18 12:33:24+00:00,,KurtGokhan,,
33555,[DevTools Bug]:  Unnecessary Re-render Highlight on Sibling Component in React DevTools,2025-06-17 17:53:36+00:00,,yuki2006,,
33541,Bug: React date input not working with iOS voiceover,2025-06-16 16:54:39+00:00,,thegrims,,
33502,[Compiler Bug]: Functions defined in render that return primitives don't have usages memoized,2025-06-11 01:48:19+00:00,,jaaamesey,,
33360,[Compiler Bug]:,2025-05-27 18:54:24+00:00,,yungsters,,
33322,"[DevTools Bug] Cannot remove node ""25"" because no matching node was found in the Store.",2025-05-21 06:13:31+00:00,2025-10-12 13:03:25+00:00,vinaymarati,eps1lon,144.28465277777778
33315,[Compiler Bug]: Todo: (BuildHIR::lowerExpression) Handle ??= operators in AssignmentExpression (164:164),2025-05-20 14:35:24+00:00,,Daniel3711997,,
33302,[Compiler Bug]: React fails to rerender list items when using compiler with zustand store,2025-05-18 16:18:21+00:00,,MarkusWendorf,,
33292,[DevTools Bug]: UI not using full window space,2025-05-16 15:55:38+00:00,2025-05-20 09:47:54+00:00,bidinzky,bidinzky,3.7446296296296295
33223,[Compiler]: Suppressing ref validation errors makes it unclear why code accessing refs is unmemoized,2025-05-16 02:05:08+00:00,2025-07-29 19:09:52+00:00,jonbri,josephsavona,74.71162037037037
33210,[DevTools Bug]: Context display does not support HOC name tagging,2025-05-15 11:56:01+00:00,,mio-moto,,
33209,[Compiler]: flags mutations of shared mutable refs and skips optimizations,2025-05-15 07:44:15+00:00,2025-07-29 19:09:20+00:00,szhsin,josephsavona,75.47575231481481
33208,[Compiler]: passing `ref` to render prop will void optimization,2025-05-15 05:39:44+00:00,2025-07-29 19:02:07+00:00,szhsin,josephsavona,75.55721064814814
33198,[Compiler Bug]: compiler doesn't work with `@svgr/webpack`,2025-05-14 13:56:00+00:00,2025-05-31 00:25:34+00:00,ellemedit,ellemedit,16.437199074074073
33196,[Compiler Bug]: Compiler errors when optimizing component with spread assignment in `if` in `while` loop,2025-05-14 10:22:44+00:00,2025-08-19 16:25:51+00:00,kumpelstachu,josephsavona,97.25216435185185
33187,Bug: CSS not being applied properly in Chrome with React experimental (moveBefore),2025-05-13 14:28:19+00:00,2025-06-19 08:04:49+00:00,guillaumebrunerie,guillaumebrunerie,36.73368055555556
33173,[DevTools Bug] Minified React error #310; visit https://react.dev/errors/310 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.,2025-05-12 09:10:11+00:00,,crucioo,,
33171,[Compiler Bug]: React Compiler breaks SuperToken's react-native global fetch patch,2025-05-11 17:59:55+00:00,2025-05-17 23:36:28+00:00,vanstinator,josephsavona,6.233715277777778
33075,[Compiler Todo]: `for await` loop fails to optimize component.,2025-04-30 22:31:20+00:00,,suneettipirneni,,
33052,[Compiler Bug]: TypeError: isUndefined is not a function (it is undefined),2025-04-29 09:07:21+00:00,2025-09-11 22:38:15+00:00,Robert27,Robert27,135.563125
33050,[Compiler]: skipped memoization due to potential modification after hook call,2025-04-29 05:33:17+00:00,,szhsin,,
33025,[Compiler Bug]: Unexpected [ Server ] Error: {} causing ErrorBoundary crash in Next.js 15.1.6 with Turbopack,2025-04-25 17:16:40+00:00,,Emmanuel-Xs,,
32986,[Compiler Bug]: eslint-plugin-react-hooks does not enable the new rule for the React compiler,2025-04-22 12:39:34+00:00,,guillaumebrunerie,,
32964,"[DevTools Bug] Cannot remove node ""107"" because no matching node was found in the Store.",2025-04-19 15:11:40+00:00,2025-10-12 13:03:51+00:00,heyitsdurdona,eps1lon,175.91123842592592
32950,[Compiler Bug]: Coverage report shows missing branch coverage,2025-04-17 09:00:56+00:00,,ValentinGurkov,,
32947,[Compiler Bug]: Property 'tsSatisfiesExpression' does not exist on type...,2025-04-17 07:03:41+00:00,2025-08-19 16:35:37+00:00,saul-atomrigs,josephsavona,124.39717592592592
32915,[Compiler Bug]: Unicode characters handled incorrectly,2025-04-15 13:53:26+00:00,2025-08-19 16:36:05+00:00,JCown,josephsavona,126.11295138888889
32852,"[DevTools Bug] Cannot add node ""909"" because a node with that id is already in the Store.",2025-04-11 11:56:38+00:00,,IvanGoranov02,,
32836,[DevTools Bug]: Firefox devtools extension doesn't work with React 19,2025-04-09 13:49:06+00:00,,shardul-b,,
32835,[DevTools Bug]: symbolicated sourcemaps won't fetch for rsc components on Chrome 135.0.7 (rsc:// and webpack:// prefixed fetches fail),2025-04-09 05:45:53+00:00,,jamiesunderland,,
32805,[DevTools Bug]:,2025-04-02 12:51:20+00:00,2025-04-02 18:08:14+00:00,rayan2005643,eps1lon,0.22006944444444446
32804,[Bug]: ERR_INVALID_ARG_TYPE occurs when I install project,2025-04-02 04:38:51+00:00,2025-04-02 14:02:20+00:00,SongMinQQ,SongMinQQ,0.39130787037037035
32776,[DevTools Bug]: Doesn't work in browser extensions,2025-03-28 10:55:53+00:00,2025-04-23 17:15:17+00:00,ghost,hoxyq,26.263472222222223
32771,"[DevTools Bug]: Firefox extension out of date (v6.0.0, 2024-09-26)",2025-03-27 18:55:01+00:00,2025-10-15 08:42:43+00:00,zeorin,zeorin,201.57479166666667
32750,"[DevTools Bug] Cannot add node ""29"" because a node with that id is already in the Store.",2025-03-25 20:22:30+00:00,2025-10-12 13:03:58+00:00,Gontse7,eps1lon,200.69546296296295
32713,[DevTools Bug]: Apple CloudKit JS sign in button doesn't work when extension is enabled,2025-03-22 18:29:06+00:00,,infinitepower18,,
32659,[DevTools Bug]: cannot double click anymore on component name to filter the tree view (in Components tab) (since v6.1.1),2025-03-18 13:48:33+00:00,2025-05-12 13:13:11+00:00,clementcitiz,clementcitiz,54.97543981481481
32642,"[DevTools Bug] Cannot remove node ""37930"" because no matching node was found in the Store.",2025-03-16 22:57:28+00:00,2025-03-17 08:04:01+00:00,boss6825,boss6825,0.3795486111111111
32620,[Compiler Bug]: return without value causes bailout,2025-03-15 00:10:10+00:00,2025-04-15 14:28:57+00:00,aeharding,aeharding,31.596377314814816
32580,[Compiler Bug]: `enableFunctionOutlining` breaks `react-native-reanimated` API callbacks,2025-03-12 16:24:10+00:00,,tjzel,,
32575,[Compiler Bug]: eslint-plugin-react-compiler has incorrect type definitions,2025-03-12 01:09:04+00:00,2025-03-27 04:00:19+00:00,printfn,printfn,15.11892361111111
32573,[DevTools Bug] i is undefined,2025-03-11 20:48:21+00:00,,endolith,,
32555,[DevTools Bug]: Use console custom formatters,2025-03-09 02:13:41+00:00,,sroussey,,
32552,[DevTools Bug]: Negative infinity is serialized and shown as `Infinity` ,2025-03-08 11:14:40+00:00,,mart3323,,
32485,[DevTools Bug]: The memo component is not displayed correctly,2025-02-27 05:42:40+00:00,,spencer17x,,
32484,[DevTools Bug]: Highlight updates when components render error,2025-02-27 05:38:09+00:00,,spencer17x,,
32473,"[Compiler Bug]: Should support hooks named with symbols: use$, use_",2025-02-25 14:13:35+00:00,,jmeistrich,,
32440,[Compiler Bug]: Cyclic dependencies when using the react-compiler and metro bundler can result in sometimes undefined hook imports,2025-02-21 02:39:40+00:00,2025-07-24 16:48:04+00:00,the-simian,poteto,153.58916666666667
32432,[Compiler Bug]: React throws an error when useMemo is used.,2025-02-20 10:34:06+00:00,2025-02-20 11:06:29+00:00,Uttkarsh-Srivastava,Uttkarsh-Srivastava,0.022488425925925926
32424,[Compiler Bug]: Make memoization more granular,2025-02-19 11:54:12+00:00,2025-02-19 23:01:49+00:00,oleksii-kononykhin,mofeiZ,0.4636226851851852
32418,[DevTools Bug]: Profiler show false re-renders,2025-02-18 21:14:27+00:00,,ChibiBlasphem,,
32364,[Compiler Bug]: math operators prevent caching,2025-02-12 11:44:14+00:00,2025-02-16 18:25:24+00:00,lstkz,josephsavona,4.278587962962963
32320,[Compiler Bug]: InvalidReact: Ref values (the `current` property) may not be accessed during render. False Positive,2025-02-06 21:05:56+00:00,2025-07-29 19:10:38+00:00,funktr0n,josephsavona,172.91993055555557
32270,[DevTools Bug]:  [DevTools Bug] Minified React error #482; visit https://react.dev/errors/482 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.,2025-01-30 10:14:23+00:00,2025-01-30 10:15:00+00:00,Omniakhalid,Omniakhalid,0.00042824074074074075
32269,[Compiler Bug]: Upgrading from `e552027-20250112` to `27714ef-20250124` no longer optimizes,2025-01-30 08:10:31+00:00,2025-02-19 21:22:55+00:00,SimenB,mofeiZ,20.55027777777778
32261,"[Compiler Bug]: ""Ref values (the `current` property) may not be accessed during render"" but there is no value access",2025-01-29 13:49:56+00:00,2025-08-19 16:32:31+00:00,fdelu,josephsavona,202.1129050925926
32257,[DevTools Bug]:  [DevTools Bug] Minified React error #482; visit https://react.dev/errors/482 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.,2025-01-29 08:37:50+00:00,2025-02-10 20:12:50+00:00,najeebWorld,hoxyq,12.48263888888889
32235,[Compiler Bug]: Hydration failed because the server rendered HTML didn't match the client. As a result this tree will be regenerated on the client. This can happen if a SSR-ed Client Component used,2025-01-27 12:16:47+00:00,,egorBezmen,,
32196,"[DevTools Bug]:  [DevTools Bug] Cannot reorder children for node ""0"" because no matching node was found in the Store.",2025-01-23 11:25:04+00:00,,MikeEzzati,,
32192,[DevTools Bug]:  Support Iterables in React DevTools,2025-01-23 08:51:30+00:00,2025-01-29 18:12:08+00:00,atharv9017,atharv9017,6.389328703703704
32189,[Compiler Bug]:  Incorrect Optimization of JS Output,2025-01-23 08:11:54+00:00,2025-01-23 18:03:07+00:00,atharv9017,mofeiZ,0.41056712962962966
32165,[DevTools Bug]: react-devtools not start up,2025-01-23 01:40:01+00:00,,yuyang-ok,,
32137,[Compiler Bug]: double quote compile incorrectly,2025-01-20 22:32:12+00:00,2025-01-22 17:05:01+00:00,himself65,mofeiZ,1.7727893518518518
32123,[Compiler Bug]: Compiler messes up with escape character,2025-01-19 06:05:54+00:00,2025-01-22 19:22:37+00:00,jgangel,mofeiZ,3.553275462962963
32118,"[DevTools Bug] Cannot add child ""301"" to parent ""155"" because parent node was not found in the Store.",2025-01-18 03:21:16+00:00,2025-04-01 08:56:19+00:00,DilinJose,DilinJose,73.23267361111111
32109,"[Compiler Bug]: eslint plugin erroneously flags third-party functions starting with ""use"" as hooks",2025-01-17 14:32:20+00:00,,ddolcimascolo,,
32107,[Compiler Bug]: Compiler assumes all functions returned from hooks are pure,2025-01-17 11:08:39+00:00,2025-01-17 15:30:24+00:00,ddolcimascolo,mofeiZ,0.18177083333333333
32089,[DevTools Bug]: incorrect error on react-hooks/exhaustive-deps,2025-01-16 15:29:24+00:00,,sajera,,
32085,[Compiler Problem]: npm packages do not follow semantic versioning,2025-01-16 06:55:52+00:00,2025-01-17 17:03:18+00:00,FleetAdmiralJakob,poteto,1.4218287037037036
32059,[DevTools Feature Request]: show reference to component instance when profiling,2025-01-13 22:13:44+00:00,2025-01-15 08:12:57+00:00,Eliav2,Eliav2,1.4161226851851851
32057,[DevTools Bug] Cannot read properties of undefined (reading 'replace'),2025-01-13 17:08:57+00:00,2025-01-28 21:45:30+00:00,pqhcker,hoxyq,15.192048611111112
32048,[Compiler Bug]: Compiler incorrectly unwraps `useMemo()`,2025-01-12 16:15:09+00:00,2025-01-13 16:40:56+00:00,MrFlashAccount,josephsavona,1.0179050925925925
32014,[Compiler Bug]: Playground doesn't display compiler violations,2025-01-08 09:48:07+00:00,2025-01-09 17:21:08+00:00,MrFlashAccount,poteto,1.3145949074074075
32011,[Compiler Bug]: Upgrading to react compiler runtime 19.0.0-beta-63e3235-20250105 breaks app built with Vite + React Route v7,2025-01-07 19:00:30+00:00,2025-01-09 18:19:04+00:00,rishitells,poteto,1.9712268518518519
31977,[DevTools Bug]: React DevTools Profiler freezes after recording multiple events,2025-01-04 16:15:59+00:00,2025-01-14 20:23:43+00:00,MariniGraphicDesigner,hoxyq,10.172037037037038
31950,"[DevTools Bug] Cannot remove node ""92"" because no matching node was found in the Store.",2025-01-01 16:10:15+00:00,2025-10-12 13:04:03+00:00,TheOnly1TY,eps1lon,283.87069444444444
31941,"[DevTools Bug] Cannot remove node ""26868"" because no matching node was found in the Store.",2024-12-31 04:38:29+00:00,2024-12-31 04:38:57+00:00,parth-kbs,parth-kbs,0.00032407407407407406
31911,[DevTools Bug] Minified React error #310; visit https://react.dev/errors/310 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.,2024-12-25 15:27:25+00:00,,ayush-ap11,,
31888,"[DevTools Bug] Could not find commit data for root ""1""",2024-12-22 13:17:55+00:00,,anwarrturay,,
31880,[DevTools Bug]: Profiling not supported error with up-to-date React.,2024-12-20 22:07:56+00:00,,patrickwalton,,
31878,[DevTools Bug]: Profiling not supported error points to stale documentation link.,2024-12-20 22:04:06+00:00,,patrickwalton,,
31864,[Compiler Bug]: Linter complains about ref `current` access during render when returning array with Typescript's `as const`,2024-12-20 02:44:03+00:00,2024-12-20 16:56:49+00:00,valtism,josephsavona,0.5921990740740741
31790,Bug: `use` function doesn't warn about uncached promise when promise doesn't resolve immediately,2024-12-15 13:25:01+00:00,,tomdohnal,,
31763,"[Compiler Bug]: wrong check with all `props` object (`$[0] !== props`) when accessing the function from the `props` object and calls it, e.g. `props.reportBug()`",2024-12-13 20:43:58+00:00,2024-12-14 04:43:54+00:00,dimaMachina,josephsavona,0.33328703703703705
31745,[Compiler Bug]: Handle TSInstantiationExpression expressions,2024-12-12 17:26:06+00:00,2025-02-03 16:41:06+00:00,artsiomshaitar,josephsavona,52.96875
31743,"[DevTools Bug] Cannot add node ""1"" because a node with that id is already in the Store.",2024-12-12 11:10:31+00:00,2025-10-12 13:04:10+00:00,Nasrallah1997,eps1lon,304.0789236111111
31742,[Compiler Bug]: Ref values may not be accessed during render when using `mergeRefs`,2024-12-12 09:32:53+00:00,2025-07-29 19:04:57+00:00,NeilTheFisher,josephsavona,229.39726851851853
31727,[Compiler Bug]: Compiler fails to memoize hooks with no hook calls,2024-12-10 23:35:42+00:00,2025-08-19 16:34:56+00:00,billyjanitsch,josephsavona,251.70780092592594
31702,[Compiler Bug]: server components built externally by the compiler error when rendered in app,2024-12-08 14:09:14+00:00,,DanielOrtel,,
31679,[DevTools Bug]: Profiler stuck and crash,2024-12-05 21:46:57+00:00,2025-01-14 20:23:44+00:00,JoshL579,hoxyq,39.94221064814815
31673,[Compiler Bug]: Properties added to hook functions are removed,2024-12-05 13:46:19+00:00,,reyronald,,
31651,[Compiler Bug]: Moved breakpoint in React Native,2024-12-02 11:19:11+00:00,,maciekstosio,,
